"name","born","died","borncountry","borncity","bornlong","bornlat","diedcountry","diedcity","diedlong","diedlat","gender","year","category","motivation","institutionname","institutioncity","institutioncountry"
"Fritz Albert Lipmann","1899-06-12","1986-07-24","Germany (now Russia)","Koenigsberg (now Kaliningrad)",20.4522144,54.7104264,"USA","Poughkeepsie, NY",-73.9209701,41.7003713,"male",1953,"medicine","""for his discovery of co-enzyme A and its importance for intermediary metabolism""","Harvard Medical School","Boston, MA","USA"
"Fritz Albert Lipmann","1899-06-12","1986-07-24","Germany (now Russia)","Koenigsberg (now Kaliningrad)",20.4522144,54.7104264,"USA","Poughkeepsie, NY",-73.9209701,41.7003713,"male",1953,"medicine","""for his discovery of co-enzyme A and its importance for intermediary metabolism""","Massachusetts General Hospital","Boston, MA","USA"
"Robert Koch","1843-12-11","1910-05-27","Germany","Clausthal (now Clausthal-Zellerfeld)",10.3407069,51.8080063,"Germany","Baden-Baden",8.2285242,48.76564,"male",1905,"medicine","""for his investigations and discoveries in relation to tuberculosis""","Institute for Infectious Diseases","Berlin","Germany"
"Philipp Eduard Anton von Lenard","1862-06-07","1947-05-20","Hungary (now Slovakia)","Pressburg (now Bratislava)",17.1077478,48.1485965,"Germany","Messelhausen",9.789068,49.576441,"male",1905,"physics","""for his work on cathode rays""","Kiel University","Kiel","Germany"
"Charles J Pedersen","1904-10-03","1989-10-26","Korea (now South Korea)","Pusan",129.0756416,35.1795543,"USA","Salem, NJ",-75.4671423,39.5717796,"male",1987,"chemistry","""for their development and use of molecules with structure-specific interactions of high selectivity""","Du Pont","Wilmington, DE","USA"
"Sir Arthur Lewis","1915-01-23","1991-06-15","British West Indies (now Saint Lucia)","Castries",-60.9874687,14.0101094,"Barbados","Bridgetown",-59.6144819,13.0968511,"male",1979,"economics","""for their pioneering research into economic development research with particular consideration of the problems of developing countries""","Princeton University","Princeton, NJ","USA"
"Nicolay Gennadiyevich Basov","1922-12-14","2001-07-01","USSR (now Russia)","Usman",39.7406193,52.0407835,"Russia","Moscow",37.6172999,55.755826,"male",1964,"physics","""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""","P.N. Lebedev Physical Institute","Moscow","USSR"
"Marie Curie nee Sklodowska","1867-11-07","1934-07-04","Russian Empire (now Poland)","Warsaw",21.0122287,52.2296756,"France","Sallanches",6.6305569,45.936661,"female",1911,"chemistry","""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element""","Sorbonne University","Paris","France"
"Isidor Isaac Rabi","1898-07-29","1988-01-11","Austria-Hungary (now Poland)","Rymanow",21.86815,49.57642,"USA","New York, NY",-74.0059728,40.7127753,"male",1944,"physics","""for his resonance method for recording the magnetic properties of atomic nuclei""","Columbia University","New York, NY","USA"
"Abdus Salam","1926-01-29","1996-11-21","India (now Pakistan)","Jhang",72.3203105,31.2941284,"United Kingdom","Oxford",-1.2577263,51.7520209,"male",1979,"physics","""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""","International Centre for Theoretical Physics","Trieste","Italy"
"Abdus Salam","1926-01-29","1996-11-21","India (now Pakistan)","Jhang",72.3203105,31.2941284,"United Kingdom","Oxford",-1.2577263,51.7520209,"male",1979,"physics","""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""","Imperial College","London","United Kingdom"
"Subramanyan Chandrasekhar","1910-10-19","1995-08-21","India (now Pakistan)","Lahore",74.3587473,31.5203696,"USA","Chicago, IL",-87.6297982,41.8781136,"male",1983,"physics","""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars""","University of Chicago","Chicago, IL","USA"
"Wilhelm Ostwald","1853-09-02","1932-04-04","Russian Empire (now Latvia)","Riga",24.1051865,56.9496487,"Germany","Leipzig",12.3730747,51.3396955,"male",1909,"chemistry","""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""","Leipzig University","Leipzig","Germany"
"Willem Einthoven","1860-05-21","1927-09-29","Java, Dutch East Indies (now Indonesia)","Semarang",110.4381254,-7.0051453,"the Netherlands","Leiden",4.4970097,52.1601144,"male",1924,"medicine","""for his discovery of the mechanism of the electrocardiogram""","Leiden University","Leiden","the Netherlands"
"Eugene Paul Wigner","1902-11-17","1995-01-01","Austria-Hungary (now Hungary)","Budapest",19.040235,47.497912,"USA","Princeton, NJ",-74.6672226,40.3572976,"male",1963,"physics","""for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles""","Princeton University","Princeton, NJ","USA"
"Albert von SzentGyorgyi Nagyrapolt","1893-09-16","1986-10-22","Austria-Hungary (now Hungary)","Budapest",19.040235,47.497912,"USA","Woods Hole, MA",-70.6730857,41.5264977,"male",1937,"medicine","""for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid""","Szeged University","Szeged","Hungary"
"Hans Spemann","1869-06-27","1941-09-12","W&uuml;rttemberg (now Germany)","Stuttgart",9.1829321,48.7758459,"Germany","Freiburg im Breisgau",7.8421043,47.9990077,"male",1935,"medicine","""for his discovery of the organizer effect in embryonic development""","University of Freiburg im Breisgau","Breisgau","Germany"
"Hans G Dehmelt","1922-09-09","2017-03-07","Prussia (now Germany)","Gorlitz",14.968707,51.1506269,"USA","Seattle, WA",-122.3320708,47.6062095,"male",1989,"physics","""for the development of the ion trap technique""","University of Washington","Seattle, WA","USA"
"Hermann Emil Fischer","1852-10-09","1919-07-15","Prussia (now Germany)","Euskirchen",6.7899945,50.6574392,"Germany","Berlin",13.404954,52.5200066,"male",1902,"chemistry","""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""","Berlin University","Berlin","Germany"
"Johann Friedrich Wilhelm Adolf von Baeyer","1835-10-31","1917-08-20","Prussia (now Germany)","Berlin",13.404954,52.5200066,"Germany","Starnberg",11.339009,47.9999615,"male",1905,"chemistry","""in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds""","Munich University","Munich","Germany"
